corresponding_id,alias,real_name,alias_type,start,end,extra
,Bishop of Limerick,John Young,religious,1796/06/19,1813/09/22,https://en.wikipedia.org/wiki/John_G._Young_(bishop)
,Bishop of Limerick,Charles Tuohy,religious,1814/10/01,1828/03/17,https://en.wikipedia.org/wiki/Charles_Tuohy
,Bishop of Limerick,John Ryan,religious,1828/03/17,1864/06/06,
,Bishop of Limerick,George Butler,religious,1864/06/07,1886/02/03,
,Bishop of Limerick,Edward Thomas O'Dwyer,religious,1886/05/18,1917/08/19,https://en.wikipedia.org/wiki/Edward_O%27Dwyer
