corresponding_id,alias,real_name,alias_type,start,end
,Archbishop of York,William Markham,religious,1776,1807
,Archbishop of York,Edward Venables-Vernon-Harcourt,religious,1808,1847
,Archbishop of York,Thomas Musgrave,religious,1847,1860
,Archbishop of York,Charles Longley,religious,1860,1862
,Archbishop of York,William Thomson,religious,1862,1890
,Archbishop of York,William Connor Magee,religious,1891,1891
,Archbishop of York,William Dalrymple Maclagan,religious,1891,1908
,Archbishop of York,William Cosmo Gordon Lang,religious,1909,1928
