corresponding_id,alias,real_name,alias_type,start,end
,Archbishop of Dublin,Robert Fowler,religious,1779/01/08,1801/10/10
,Archbishop of Dublin,Charles Agar,religious,1801/12/07,1809/07/14
,Archbishop of Dublin,Euseby Cleaver,religious,1809/08/25,12/1819
,Archbishop of Dublin,John George de la Poer Beresford,religious,1820/03/21,1822/06/17
,Archbishop of Dublin,William Magee,religious,1822/06/24,1831/08/18
,Archbishop of Dublin,Richard Whately,religious,1831/10/23,1863/10/08
,Archbishop of Dublin,Richard Chenevix Trench,religious,1864/01/01,1884/11/28
,Archbishop of Dublin,William Conyngham Plunket,religious,1884/12/23,1897/04/01
,Archbishop of Dublin,Joseph Ferguson Peacocke,religious,1897/05/19,1915/09/03
