corresponding_id,alias,real_name,alias_type,start,end
,Bishop of Lincoln,George Pretyman Tomline,religious,1787/03/11,1820/08/18
,Bishop of Lincoln,George Pelham,religious,1820/08/19,1827/02/07
,Bishop of Lincoln,John Kaye,religious,1827/02/12,1853/02/19
,Bishop of Lincoln,John Jackson,religious,1853/03/18,1869/01/11
,Bishop of Lincoln,Christopher Wordsworth,religious,1869/02/09,1885/02
,Bishop of Lincoln,Edward King,religious,1885/03/05,1910/03/08
