corresponding_id,alias,real_name,alias_type,start,end,extra
6504,Earl of Aboyne,George Gordon,title,1795,1836/05/28,
6504,Marquess of Huntly,George Gordon,title,1836/05/29,1853/06/17,
1988,Lord Strathavon,Charles Gordon,title,1794,1836/05/28,
1988,Earl of Aboyne,Charles Gordon,title,1836/05/29,1853/06/17,
1988,Marquess of Huntly,Charles Gordon,title,1853/06/18,1863/09/18,
6883,Lord Strathavon,Charles Gordon,title,1836/05/29,1853/06/17,
6883,Earl of Aboyne,Charles Gordon,title,1853/06/18,1863/09/18,
6883,Marquess of Huntly,Charles Gordon,title,1863/09/19,1937/02/20,
