corresponding_id,alias,real_name,alias_type,start,end,link
6806,Earl of Dalhousie,George Ramsay,title,1787,1838/03/21,"https://en.wikipedia.org/wiki/George_Ramsay,_9th_Earl_of_Dalhousie"
3493,Earl of Dalhousie,James Andrew Broun-Dalhousie,title,1838/03/22,1860/12/19,"https://en.wikipedia.org/wiki/James_Broun-Ramsay,_1st_Marquess_of_Dalhousie"
3493,Marquess Dalhousie,James Andrew Broun-Dalhousie,title,1849,1860/12/19,
3378,Lord Panmure,Fox Maule-Ramsay,title,1852,1860/12/19,"https://en.wikipedia.org/wiki/Fox_Maule-Ramsay,_11th_Earl_of_Dalhousie"
3378,Earl of Dalhousie,Fox Maule-Ramsay,title,1860/12/20,1874/07/06,
,Earl of Dalhousie,James Ramsay,title,1874/07/07,1880/07/20,"https://en.wikipedia.org/wiki/George_Ramsay,_12th_Earl_of_Dalhousie"
,Baron Ramsay,James Ramsay,title,1875,1880/07/20,
5726,Earl of Dalhousie,John William Maule Ramsay,title,1880/07/21,1887/11/25,"https://en.wikipedia.org/wiki/John_Ramsay,_13th_Earl_of_Dalhousie"
7059,Earl of Dalhousie,Arthur George Maule Ramsay,title,1887/11/26,1928/12/23,"https://en.wikipedia.org/wiki/Arthur_Ramsay,_14th_Earl_of_Dalhousie"
