corresponding_id,alias,real_name,alias_type,start,end,extra
6583,Earl of Mornington,Richard Colley Wellesley,title,1781/05/23,1842/09/26,"https://en.wikipedia.org/wiki/Richard_Wellesley,_1st_Marquess_Wellesley"
6583,Marquess Wellesley,Richard Colley Wellesley,title,1799/01/01,1842/09/26,
1023,Lord Maryborough,William Wellesley-Pole,title,1821,1842/09/26,"https://en.wikipedia.org/wiki/William_Wellesley-Pole,_3rd_Earl_of_Mornington"
1023,Earl of Mornington,William Wellesley-Pole,title,1842/09/27,1845/02/22,
1823,Viscount Wellesley,William Pole-Tylney-Long-Wellesley,title,1842/09/27,1845/02/22,"https://en.wikipedia.org/wiki/William_Pole-Tylney-Long-Wellesley,_4th_Earl_of_Mornington"
1823,Earl of Mornington,William Pole-Tylney-Long-Wellesley,title,1845/02/23,1857/07/01,
6855,Viscount Wellesley,William Richard Arthur Pole-Tylney-Long-Wellesley,title,1845/02/23,1857/07/01,"https://en.wikipedia.org/wiki/William_Pole-Tylney-Long-Wellesley,_5th_Earl_of_Mornington"
6855,Earl of Mornington,William Richard Arthur Pole-Tylney-Long-Wellesley,title,1857/07/02,1863/07/25,For the rest of the peerage line check the Duke of Wellington csv since the line carries on through them.
