corresponding_id,alias,real_name,alias_type,start,end,links,extra
6713,Earl of Inchiquin,Murrough O'Brien,title,1777,1800,"https://en.wikipedia.org/wiki/Murrough_O%27Brien,_1st_Marquess_of_Thomond",
6713,Marquess of Thomond,Murrough O'Brien,title,1800,1808/02/10,"https://en.wikipedia.org/wiki/Murrough_O%27Brien,_1st_Marquess_of_Thomond",
12974,Marquess of Thomond,William O'Brien,title,1808/02/11,1846/08/21,"https://en.wikipedia.org/wiki/William_O%27Brien,_2nd_Marquess_of_Thomond",Created ID
12973,Earl of Inchiquin,James O'Brien,title,1808/02/11,1846/08/21,"https://en.wikipedia.org/wiki/James_O%27Brien,_3rd_Marquess_of_Thomond",Created ID
12973,Marquess of Thomond,James O'Brien,title,1846/08/22,1855/07/03,,Created ID
