corresponding_id,alias,real_name,alias_type,start,end,extra,links
1405,Baron Ravensworth,Thomas Henry Liddell,title,1821/07/17,1855/03/07,Was the first Baron R. not the first Earl but considered it important to include him,"https://en.wikipedia.org/wiki/Thomas_Liddell,_1st_Baron_Ravensworth"
2527,Baron Ravensworth,Henry Thomas Liddell,title,1855/03/08,1878/03/19,,"https://en.wikipedia.org/wiki/Henry_Liddell,_1st_Earl_of_Ravensworth"
2527,Earl of Ravensworth,Henry Thomas Liddell,title,1874,1878/03/19,,
4264,Lord Eslington,Henry George Liddell,title,1874,1878/03/19,,"https://en.wikipedia.org/wiki/Henry_Liddell,_2nd_Earl_of_Ravensworth"
4264,Earl of Ravensworth,Henry George Liddell,title,1878/03/20,1903/07/22,,
7192,Lord Eslington,Atholl Charles John Liddell,title,1878/03/19,1903/07/22,is in mps.csv,no entry on wiki
7192,Earl of Ravensworth,Atholl Charles John Liddell,title,1903/07/22,1904/02/07,,
7214,Lord Eslington,Arthur Thomas Liddell,title,1904/02/08,1919/11/12,is in mps.csv,no entry on wiki
7214,Earl of Ravensworth,Arthur Thomas Liddell,title,1904/02/08,1919/11/12,,
