corresponding_id,alias,real_name,alias_type,start,end,extra,links
,Baron Cahir,Richard Butler,title,1788,1819/01/30,died in office,"https://en.wikipedia.org/wiki/Richard_Butler,_1st_Earl_of_Glengall"
,Earl of Glengall,Richard Butler,title,1816,1819/01/30,no cid,
2142,Viscount Cahir,Richard Butler,title,1816,1819/01/31,,"https://en.wikipedia.org/wiki/Richard_Butler,_2nd_Earl_of_Glengall"
2142,Baron Cahir,Richard Butler,title,1819/01/31,1858/06/22,,
2142,Earl of Glengall,Richard Butler,title,1819/01/31,1858/06/22,,
