corresponding_id,alias,real_name,alias_type,start,end,extra,
6637,earl bathurst,Henry Bathurst,title,1762/05/22,1834/07/27,"3rd Earl Bathurst, eldest son of 2nd","https://en.wikipedia.org/wiki/Henry_Bathurst,_3rd_Earl_Bathurst"
1711,earl bathurst,Henry George Bathurst,title,1834/07/28,1866/05/25,"4th Earl Bathurst, eldest son of 3rd","https://en.wikipedia.org/wiki/Henry_Bathurst,_4th_Earl_Bathurst"
6893,earl bathurst,William Lennox Bathurst,title,1866/05/26,1878/02/24,"5th Earl Bathurst, younger brother of 4th","https://en.wikipedia.org/wiki/William_Bathurst,_5th_Earl_Bathurst"
4444,earl bathurst,Allen Alexander Bathurst,title,1878/02/25,1892/08/01,"6th Earl Bathurst, nephew of William Lennox","https://en.wikipedia.org/wiki/Allen_Bathurst,_6th_Earl_Bathurst"
7093,earl bathurst,Seymour Bathurst,title,1892/08/02,1943/09/21,"7th, eldest son of Allen Alexander","https://en.wikipedia.org/wiki/Seymour_Bathurst,_7th_Earl_Bathurst"
