corresponding_id,alias,real_name,alias_type,start,end,links,extra
3542,Baron Castletown,John Wilson FitzPatrick,title,1869/12/10,1883/01/22,"https://en.wikipedia.org/wiki/John_FitzPatrick,_1st_Baron_Castletown",
5759,Baron Castletown,Bernard Edward Barnaby FitzPatrick,title,1883/01/23,1937/05/29,"https://en.wikipedia.org/wiki/Bernard_FitzPatrick,_2nd_Baron_Castletown",
