corresponding_id,alias,real_name,alias_type,start,end,links,extra
3777,Baron Lamington,Alexander Baillie-Cochrane,title,1880,1890/02/15,"https://en.wikipedia.org/wiki/Alexander_Baillie-Cochrane,_1st_Baron_Lamington",died in office
6321,Baron Lamington,Charles Wallace Alexander Napier Cochrane-Baillie,title,1890/02/16,1940/09/16,"https://en.wikipedia.org/wiki/Charles_Cochrane-Baillie,_2nd_Baron_Lamington",died in office
