corresponding_id,alias,real_name,alias_type,start,end,extra
12982,Lord King,Peter King,title,1800,1833/06/01,"https://en.wikipedia.org/wiki/Peter_King,_7th_Baron_King"
12982,Baron King,Peter King,title,1793,1833,"https://en.wikipedia.org/wiki/Peter_King,_7th_Baron_King"
12983,Lord King,William King-Noel,title,1833/06/01,1838,"https://en.wikipedia.org/wiki/William_King-Noel,_1st_Earl_of_Lovelace"
12983,Baron King,William King-Noel,title,1833,1893,"https://en.wikipedia.org/wiki/William_King-Noel,_1st_Earl_of_Lovelace"
12983,Earl of Lovelace,William King-Noel,title,1838,1893,"https://en.wikipedia.org/wiki/William_King-Noel,_1st_Earl_of_Lovelace"
