corresponding_id,alias,real_name,alias_type,start,end,extra
1895,Baron Cawdor,John Frederick Campbell,title,1821/06/02,1860/11/07,
1895,Earl Cawdor,John Frederick Campbell,title,1827,1860/11/07,
3717,Viscount Emlyn,John Frederick Vaughan Campbell,title,1827,1860/11/07,
3717,Earl Cawdor,John Frederick Vaughan Campbell,title,1860/11/08,1898/03/29,
5367,Viscount Emlyn,Frederick Archibald Vaughan Campbell,title,1860/11/08,1898/03/29,
5367,Earl Cawdor,Frederick Archibald Vaughan Campbell,title,1898/03/30,1911/02/08,
