corresponding_id,alias,real_name,alias_type,start,end,extra
6674,Baron Fortescue,Hugh Fortescue,title,1785/07/10,1841/06/16,1st
6674,Earl Fortescue,Hugh Fortescue,title,1789/09/01,1841/06/16,1st
,Viscount Ebrington,Hugh Fortescue,title,1789/09/01,1841/06/16,2nd
,Earl Fortescue,Hugh Fortescue,title,1841/06/17,1861/09/14,2nd
3719,Viscount Ebrington,Hugh Fortescue,title,1841/06/17,1861/09/14,3rd
3719,Earl Fortescue,Hugh Fortescue,title,1861/09/15,1905/10/10,3rd
5856,Viscount Ebrington,Hugh Fortescue,title,1861/09/15,1905/10/10,4th
5856,Earl Fortescue,Hugh Fortescue,title,1905/10/11,1932/10/29,4th
