debate_id,speaker_id
57344,3104
57348,3104
57349,3104
57367,3104
57369,3104
41004,3104
41008,3104
41009,3104
57396,3104
57402,3104
57405,3104
41034,3104
41035,3104
65609,3104
49232,3104
65619,3104
65620,3104
65622,3104
49244,3104
49262,3104
65649,3104
57461,3104
57465,3104
57475,3104
65669,3104
57479,3104
57480,3104
57481,3104
65680,3104
65683,3104
65685,3104
41113,3104
57498,3104
57504,3104
41121,3104
41137,3104
41158,3104
65736,3104
65738,3104
57548,3104
57549,3104
41166,3104
65739,3104
57552,3104
65740,3104
65741,3104
57556,3104
41175,3104
65760,3104
57573,3104
49382,3104
57574,3104
57575,3104
41195,3104
65787,3104
65790,3104
65791,3104
16643,3104
41226,3104
57617,3104
65811,3104
65812,3104
57622,3104
41239,3104
57625,3104
57626,3104
57627,3104
57628,3104
16671,3104
57638,3104
57640,3104
57641,3104
57642,3104
57644,3104
41269,3104
41276,3104
65859,3104
65860,3104
65861,3104
65863,3104
65864,3104
65865,3104
65867,3104
57690,3104
57691,3104
57692,3104
41309,3104
65885,3104
65886,3104
65887,3104
41324,3104
57708,3104
16751,3104
16757,3104
41342,3104
57727,3104
65923,3104
65924,3104
41351,3104
41354,3104
57741,3104
16782,3104
41359,3104
41360,3104
57742,3104
57745,3104
57750,3104
65945,3104
65947,3104
41378,3104
41379,3104
41381,3104
16812,3104
16813,3104
16814,3104
41390,3104
41392,3104
41403,3104
49596,3104
65980,3104
41406,3104
65981,3104
65982,3104
65987,3104
65989,3104
41414,3104
49617,3104
16856,3104
57816,3104
57817,3104
57818,3104
57822,3104
57824,3104
57828,3104
16869,3104
41461,3104
41462,3104
41463,3104
49662,3104
41477,3104
41486,3104
57868,3104
57870,3104
57872,3104
57873,3104
41491,3104
49684,3104
16917,3104
41493,3104
16921,3104
57881,3104
57882,3104
57883,3104
41501,3104
41505,3104
41507,3104
41508,3104
66094,3104
41520,3104
57904,3104
66095,3104
57911,3104
57913,3104
16954,3104
66102,3104
57922,3104
41540,3104
41542,3104
57925,3104
41547,3104
41548,3104
41554,3104
41557,3104
41558,3104
66133,3104
57954,3104
