corresponding_id,alias,real_name,alias_type,start,end,extra
6781,Earl of Eglinton,Hugh Montgomerie,title,1796/10/30,1819/12/14,"https://en.wikipedia.org/wiki/Hugh_Montgomerie,_12th_Earl_of_Eglinton"
6546,Lord Montgomerie,Archibald William Montgomerie,title,1814,1819/12/14,"https://en.wikipedia.org/wiki/Archibald_Montgomerie,_13th_Earl_of_Eglinton"
6546,Earl of Eglinton,Archibald William Montgomerie,title,1819/12/15,1861/10/04,
6546,Earl of Winton,Archibald William Montgomerie,title,1859,1861/10/04,
6873,Earl of Eglinton,Archibald William Montgomerie,title,1861/10/05,1892/08/30,"https://en.wikipedia.org/wiki/Archibald_Montgomerie,_14th_Earl_of_Eglinton"
6873,Earl of Winton,Archibald William Montgomerie,title,1861/10/05,1892/08/30,
7100,Earl of Eglinton,George Arnulph Montgomerie,title,1892/08/31,1919/08/10,"https://en.wikipedia.org/wiki/George_Montgomerie,_15th_Earl_of_Eglinton"
7100,Earl of Winton,George Arnulph Montgomerie,title,1892/08/31,1919/08/10,
