corresponding_id,alias,real_name,alias_type,start,end,extra
,Earl of Leitrim,Robert Clements,title,1795,1804/07/27,
,Earl of Leitrim,Nathaniel Clements,title,1804/07/28,1854/12/31,
,Viscount Clements,Nathaniel Clements,title,1795,1804/07/27,
,Baron Clements,Nathaniel Clements,title,1831,1854/12/31,
,Earl of Leitrim,William Sydney Clements,title,1855/01/01,1878/04/02,
,Earl of Leitrim,Robert Bermingham Clements,title,1878/04/03,1892/04/05,
,Earl of Leitrim,Charles Clements,title,1892/04/06,1952/06/09,
,Viscount Clements,Charles Clements,title,1878/04/03,1892/04/05,
