corresponding_id,alias,real_name,alias_type,start,end,extra
,Earl Camperdown of Lundie,Robert Dundas Haldane-Duncan,title,1831/09/12,1859/12/22,
,Baron Duncan of Lundie,Robert Dundas Haldane-Duncan,title,1804/08/04,1859/12/22,
,Viscount Duncan of Camperdown,Robert Dundas Haldane-Duncan,title,1804/08/04,1859/12/22,
,Earl Camperdown of Lundie,Adam Haldane-Duncan,title,1859/12/23,1867/01/30,
,Baron Duncan of Lundie,Adam Haldane-Duncan,title,1859/12/23,1867/01/30,
,Viscount Duncan of Camperdown,Adam Haldane-Duncan,title,1859/12/23,1867/01/30,
,Earl Camperdown of Lundie,Robert Adam Philips Haldane Handane-Duncan,title,1867/01/31,1918/06/05,
,Baron Duncan of Lundie,Robert Adam Philips Haldane Handane-Duncan,title,1867/01/31,1918/06/05,
,Viscount Duncan of Camperdown,Robert Adam Philips Haldane Handane-Duncan,title,1867/01/31,1918/06/05,
