corresponding_id,alias,real_name,alias_type,start,end,extra,link
4772,Baron O'Hagan,Thomas O'Hagan,title,1870,1885/02/01,,"https://en.wikipedia.org/wiki/Thomas_O%27Hagan,_1st_Baron_O%27Hagan"
,Baron O'Hagan,Thomas Towneley O'Hagan,title,1885/02/02,1900/12/13,,"https://en.wikipedia.org/wiki/Thomas_Towneley_O%27Hagan,_2nd_Baron_O%27Hagan"
,Baron O'Hagan,Maurice Herbert Towneley Towneley-O'Hagan,title,1900/12/14,1961/12/18,,"https://en.wikipedia.org/wiki/Maurice_Towneley-O%27Hagan,_3rd_Baron_O%27Hagan"
