corresponding_id,alias,real_name,alias_type,start,end,extra,links
,Earl of Lucan,Richard Bingham,title,1799/03/30,1839/06/30,"He does not have an entry inside of mps.csv. After checking speechdates didn't find any dates corresponding with his dob/dod, decided to not add an entry in mps.csv","https://en.wikipedia.org/wiki/Richard_Bingham,_2nd_Earl_of_Lucan"
12946,Lord Bingham,George Charles Bingham,title,1800/04/16,1839/06/30,an entry was made for him in mps.csv,"https://en.wikipedia.org/wiki/George_Bingham,_3rd_Earl_of_Lucan"
12946,Earl of Lucan,George Charles Bingham,title,1839/06/30,1888/11/10,,
4900,Lord Bingham,Charles George Bingham,title,1839/06/30,1888/11/10,,"https://en.wikipedia.org/wiki/George_Bingham,_4th_Earl_of_Lucan"
4900,Earl of Lucan,Charles George Bingham,title,1888/11/11,1914/06/05,,
