corresponding_id,alias,real_name,alias_type,start,end,extra
,Baron Castletown,John Wilson FitzPatrick,title,1869/12/10,1883/01/22,
,Baron Castletown,Bernard Edward Barnaby FitzPatrick,title,1883/01/23,1937/05/29,
