corresponding_id,alias,real_name,alias_type,start,end,extra,links
6558,Viscount Limerick,Edmund Henry Pery,title,1800,1803,,"https://en.wikipedia.org/wiki/Edmund_Pery,_1st_Earl_of_Limerick"
6558,Earl of Limerick,Edmund Henry Pery,title,1803,1844/12/07,,
,Viscount Limerick,William Henry Tennison Pery,title,1812,1844/12/07,"He does not have an entry inside of mps.csv. After checking speechdates didn't find any dates corresponding with his dob/dod, decided to not add an entry in mps.csv",does not have a wikipedia page
,Earl of Limerick,William Henry Tennison Pery,title,1844/12/08,1866,was not active in parliment,
,Viscount Glentworth,William Hale John Charles Pery,title,1844/12/08,1866,"He does not have an entry inside of mps.csv. After checking speechdates didn't find any dates corresponding with his dob/dod, decided to not add an entry in mps.csv","https://en.wikipedia.org/wiki/William_Pery,_3rd_Earl_of_Limerick"
,Earl of Limerick,William Hale John Charles Pery,title,1866,1896/08/08,was not active in parliment,
,Viscount Glentworth,William Henry Edmund de Vere Sheaffe,title,1866,1896/08/08,"He does not have an entry inside of mps.csv. After checking speechdates didn't find any dates corresponding with his dob/dod, decided to not add an entry in mps.csv","https://en.wikipedia.org/wiki/William_Pery,_4th_Earl_of_Limerick"
,Earl of Limerick,William Henry Edmund de Vere Sheaffe,title,1896/08/09,1929/03/18,was not active in parliment,
