corresponding_id,alias,real_name,alias_type,start,end,extra,links
,Under-Secretary of State for War,William Lygon Pakenham,title,1866/6,1868,,"https://en.wikipedia.org/wiki/William_Pakenham,_4th_Earl_of_Longford"
,Under-Secretary of State for War,Henry Charles Keith Petty-Fitzmaurice,title,1872/4/25,1874/2/17,,"https://en.wikipedia.org/wiki/Henry_Petty-Fitzmaurice,_5th_Marquess_of_Lansdowne"
,Under-Secretary of State for War,George Robert Charles Herbert,title,1874/3/2,1875/5/24,,"https://en.wikipedia.org/wiki/George_Herbert,_13th_Earl_of_Pembroke"
,Under-Secretary of State for War,George Henry Cadogan,title,1875,1878,,"https://en.wikipedia.org/wiki/George_Cadogan,_5th_Earl_Cadogan"
,Under-Secretary of State for War,William Coutts Keppel,title,1878/3/4,1880/4/21,,"https://en.wikipedia.org/wiki/William_Keppel,_7th_Earl_of_Albemarle"
,Under-Secretary of State for War,William Coutts Keppel,title,1885/6/26,1886/6/28,,
,Under-Secretary of State for War,Albert Edmund Parker,title,1880/5/1,1885/6/9,,"https://en.wikipedia.org/wiki/Albert_Parker,_3rd_Earl_of_Morley"
,Under-Secretary of State for War,William Mansfield,title,1886/2/1,1886/8/1,,"https://en.wikipedia.org/wiki/William_Mansfield,_1st_Viscount_Sandhurst"
,Under-Secretary of State for War,William Mansfield,title,1892,1895,,
,Under-Secretary of State for War,George Robert Canning Harris,title,1886,1890,,"https://en.wikipedia.org/wiki/George_Harris,_4th_Baron_Harris"
,Under-Secretary of State for War,Adelbert Wellington Brownlow-Cust,title,1890/1/1,1892/8/11,,"https://en.wikipedia.org/wiki/Adelbert_Brownlow-Cust,_3rd_Earl_Brownlow"
,Under-Secretary of State for War,Robert Collier,title,1895/1/5,1895/6/21,,"https://en.wikipedia.org/wiki/Robert_Collier,_2nd_Baron_Monkswell"
,Under-Secretary of State for War,William St John Fremantle Brodrick,title,1895,1898,,"https://en.wikipedia.org/wiki/St_John_Brodrick,_1st_Earl_of_Midleton"
,Under-Secretary of State for War,George Wyndham,title,1898/10/10,1900/11/13,,https://en.wikipedia.org/wiki/George_Wyndham
,Earl of Wicklow,Robert Howard,title,1807/3/7,1815/10/23,2nd Earl of Wicklow,
,Earl of Wicklow,William Howard,title,1815/10/23,1818/9/27,"3rd Earl of Wicklow, Father",
,Earl of Wicklow,William Howard,title,1818/9/27,1869/3/22,"4th Earl of Wicklow, Son",
,Earl of Wicklow,Charles Francis Arnold Howard,title,1869/3/22,1881/6/20,5th Earl of Wicklow,
,Earl of Wicklow,Cecil Ralph Howard,title,1881/6/20,1891/6/24,6th Earl of Wicklow,
,Earl of Wicklow,Ralph Francis Howard,title,1891/6/24,1946/10/11,7th Earl of Wicklow,
,Sir Hugh Cairns,Hugh McCalmont Cairns,title,1858,1885,1st Earl Cairns,
,Mr Dalziel,Davison Alexander Dalziel,title,1852/10/17,1928/4/18,"1st Baron Dalziel of Wooler, start/end date is DOB/DOD",
,Mr Dalziel,James Henry Dalziel,title,1893,1935,,
,Under-Secretary of State for India,Henry James Baillie,title,1858/9/30,1859/6/11,Full Title: Parliamentary Under-Secretary of State for India,
,Under-Secretary of State for India,Thomas George Baring,title,1859,1861,Full Title: Parliamentary Under-Secretary of State for India,
,Under-Secretary of State for India,Thomas George Baring,title,1861,1864,Full Title: Parliamentary Under-Secretary of State for India,
,Under-Secretary of State for India,George Frederick Samuel Robinson,title,1861/1/21,1861/7/31,Full Title: Parliamentary Under-Secretary of State for India,
,Under-Secretary of State for India,John Wodehouse,title,1864/4/24,1864/11/16,Full Title: Parliamentary Under-Secretary of State for India,
,Under-Secretary of State for India,Frederick Temple Hamilton-Temple-Blackwood,title,1864,1866,Full Title: Parliamentary Under-Secretary of State for India,
,Under-Secretary of State for India,James Stansfeld,title,1866,1866,Full Title: Parliamentary Under-Secretary of State for India,
,Under-Secretary of State for India,James Fergusson,title,1866,1867,Full Title: Parliamentary Under-Secretary of State for India,
,Under-Secretary of State for India,Charles Henry Rolle Hepburn-Stuart-Forbes-Trefusis,title,1867/7/31,1868/2/25,Full Title: Parliamentary Under-Secretary of State for India,
,Under-Secretary of State for India,Mountstuart Elphinstone Grant Duff,title,1868/12/8,1874/2/17,Full Title: Parliamentary Under-Secretary of State for India,
,Under-Secretary of State for India,George Francis Hamilton,title,1874,1878,Full Title: Parliamentary Under-Secretary of State for India,
,Under-Secretary of State for India,Edward Stanhope,title,1878,1880,Full Title: Parliamentary Under-Secretary of State for India,
,Under-Secretary of State for India,Henry Charles Keith Petty-Fitzmaurice,title,1880/4/29,1880/9/1,Full Title: Parliamentary Under-Secretary of State for India,
,Under-Secretary of State for India,George Henry Charles Byng,title,1880/9/1,1883/1/16,Full Title: Parliamentary Under-Secretary of State for India,
,Under-Secretary of State for India,John Kynaston Cross,title,1883/1/16,1885/6/9,Full Title: Parliamentary Under-Secretary of State for India,
,Under-Secretary of State for India,George Robert Canning Harris,title,1885/6/25,1886/8/4,Full Title: Parliamentary Under-Secretary of State for India,
,Under-Secretary of State for India,Ughtred James Kay-Shuttleworth,title,1886/2/7,1886/4/12,Full Title: Parliamentary Under-Secretary of State for India,
,Under-Secretary of State for India,Edward Stafford Howard,title,1886/4/12,1886/6/1,Full Title: Parliamentary Under-Secretary of State for India,
,Under-Secretary of State for India,John Eldon Gorst,title,1886/8/4,1891/11/9,Full Title: Parliamentary Under-Secretary of State for India,
,Under-Secretary of State for India,George Nathaniel Curzon,title,1891/11/9,1892/8/11,Full Title: Parliamentary Under-Secretary of State for India,
,Under-Secretary of State for India,George William Erskine Russell,title,1892/8/19,1894/6/21,Full Title: Parliamentary Under-Secretary of State for India,
,Under-Secretary of State for India,Donald James Mackay,title,1894/3/11,1895/6/21,"Full Title: Parliamentary Under-Secretary of State for India, in the Netherlands he is also known as Donald Jacob",
,Under-Secretary of State for India,William Hillier Onslow,title,1895,1900,Full Title: Parliamentary Under-Secretary of State for India,
,Under-Secretary of State for India,George Russell Clerk,title,1858,1860,Full Title: Permanent Under-Secretary of State for India,
,Under-Secretary of State for India,Herman Merivale,title,1860,1874,Full Title: Permanent Under-Secretary of State for India,
,Under-Secretary of State for India,Louis Mallet,title,1874,1883,Full Title: Permanent Under-Secretary of State for India,
,Under-Secretary of State for India,John Arthur Godley,title,1883,1909,Full Title: Permanent Under-Secretary of State for India,
,Earl of Hardwicke,Philip Yorke,title,1790,1834,3rd Earl of Hardwicke,
,Earl of Hardwicke,Charles Philip Yorke,title,1834,1873,"4th Earl of Hardwicke, Father",
,Earl of Hardwicke,Charles Philip Yorke,title,1873,1897,"5th Earl of Hardwicke, Son",
,Earl of Hardwicke,Albert Edward Philip Henry Yorke,title,1898,1904,6th Earl of Hardwicke,
,Dr Bowring,John Bowring,title,1832,1872,,
,Lord Chelmsford,Frederic Thesiger,title,1824,1878,1st Baron Chelmsford,
,Lord Chelmsford,Frederic Augustus Thesiger,title,1878,1905,2nd Baron Chelmsford,
,Earl of Ripon,Frederick John Robinson,title,1833,1859,1st Viscount Goderich,
,Earl of Ripon,George Frederick Samuel Robinson,title,1859,1909,1st Marquess of Ripon,
,Marquess of Ripon,George Frederick Samuel Robinson,title,1859,1909,,
,Colonel Dunne,Francis Plunkett Dunne,title,1854,1865,,
,Sir Howard Vincent,Charles Edward Howard Vincent,title,1896,1908,,
,Lord Beaumont,Miles Thomas Stapleton,title,1840,1854,"8th Baron Beaumont, no data on wikipedia",
,Lord Beaumont,Henry Stapleton,title,1854,1892,"9th Baron Beaumont, no data on wikipedia",
,Lord Beaumont,Miles Stapleton,title,1892,1895,"10th Baron Beaumont, no data on wikipedia",
