corresponding_id,alias,real_name,start,end
745,mr speaker,Henry Addington,1801/01/22,1801/02/10
6761,mr speaker,John Freeman-Mitford,1801/02/11,1802/02/09
1168,mr speaker,Charles Abbot,1802/02/10,1817/06/02
1461,mr speaker,Charles Manners-Sutton,1817/06/02,1835/02/19
1741,mr speaker,James Abercromby,1835/02/19,1839/05/27
3007,mr speaker,Charles Shaw-Lefevre,1839/05/27,1857/04/30
2345,mr speaker,John Evelyn Denison,1857/04/30,1872/02/09
4235,mr speaker,Henry Bouverie William Brand,1872/02/09,1884/02/26
4946,mr speaker,Arthur Wellesley Peel,1884/02/26,1895/04/10
6252,mr speaker,William Court Gully,1895/04/10,1905/06/08
5885,mr speaker,James William Lowther,1905/06/08,1921/04/28
