corresponding_id,alias,real_name,start,end,extra,links
4244,under-secretary of state for foreign affairs,Edward Christopher Egerton,1866/07/06,1868/12/12,,https://en.wikipedia.org/wiki/Under-Secretary_of_State_for_Foreign_Affairs
4294,under-secretary of state for foreign affairs,Arthur John Otway,1868/12/12,1871/01/09,,https://en.wikipedia.org/wiki/Under-Secretary_of_State_for_Foreign_Affairs
4300,under-secretary of state for foreign affairs,George Henry Charles Byng,1871/01/09,1874/02/23,,https://en.wikipedia.org/wiki/Under-Secretary_of_State_for_Foreign_Affairs
5135,under-secretary of state for foreign affairs,Robert Bourke,1874/02/23,1880/04/28,,https://en.wikipedia.org/wiki/Under-Secretary_of_State_for_Foreign_Affairs
5071,under-secretary of state for foreign affairs,Charles Wentworth Dilke,1880/04/28,1883/01/01,,https://en.wikipedia.org/wiki/Under-Secretary_of_State_for_Foreign_Affairs
5060,under-secretary of state for foreign affairs,Edmond George Petty-Fitzmaurice,1883/01/01,1885/06/25,,https://en.wikipedia.org/wiki/Under-Secretary_of_State_for_Foreign_Affairs
5135,under-secretary of state for foreign affairs,Robert Bourke,1885/06/25,1886/01/28,,https://en.wikipedia.org/wiki/Under-Secretary_of_State_for_Foreign_Affairs
5795,under-secretary of state for foreign affairs,James Bryce,1886/02/07,1886/07/20,,https://en.wikipedia.org/wiki/Under-Secretary_of_State_for_Foreign_Affairs
4369,under-secretary of state for foreign affairs,James Fergusson,1886/08/04,1891/09/22,,https://en.wikipedia.org/wiki/Under-Secretary_of_State_for_Foreign_Affairs
5885,under-secretary of state for foreign affairs,James William Lowther,1891/09/22,1892/08/18,,https://en.wikipedia.org/wiki/Under-Secretary_of_State_for_Foreign_Affairs
5942,under-secretary of state for foreign affairs,Edward Grey,1892/08/18,1895/06/20,,https://en.wikipedia.org/wiki/Under-Secretary_of_State_for_Foreign_Affairs
6317,under-secretary of state for foreign affairs,George Nathaniel Curzon,1895/06/20,1898/10/15,,https://en.wikipedia.org/wiki/Under-Secretary_of_State_for_Foreign_Affairs
5790,under-secretary of state for foreign affairs,William St John Fremantle Brodrick,1898/10/15,1900/11/12,,https://en.wikipedia.org/wiki/Under-Secretary_of_State_for_Foreign_Affairs
5988,under-secretary of state for foreign affairs,James Edward Hubert Gascoyne-Cecil,1900/11/12,1903/10/09,,https://en.wikipedia.org/wiki/Under-Secretary_of_State_for_Foreign_Affairs
7785,under-secretary of state for foreign affairs,Henry Algernon George Percy,1903/10/09,1905/12/18,,https://en.wikipedia.org/wiki/Under-Secretary_of_State_for_Foreign_Affairs
5060,under-secretary of state for foreign affairs,Edmond George Petty-Fitzmaurice,1905/12/18,1908/10/19,,https://en.wikipedia.org/wiki/Under-Secretary_of_State_for_Foreign_Affairs
8201,under-secretary of state for foreign affairs,Thomas McKinnon Wood,1908/10/19,1911/10/23,,https://en.wikipedia.org/wiki/Under-Secretary_of_State_for_Foreign_Affairs
