corresponding_id,alias,real_name,alias_type,start,end,extra
5853,Solicitor General for Scotland,Alexander Asher,position,1892,1894,https://en.wikipedia.org/wiki/Alexander_Asher
7261,Solicitor General for Scotland,Thomas Shaw,position,1894,1895,"https://en.wikipedia.org/wiki/Thomas_Shaw,_1st_Baron_Craigmyle"
6432,Solicitor General for Scotland,Andrew Graham Murray,position,1895,1896,"https://en.wikipedia.org/wiki/Andrew_Murray,_1st_Viscount_Dunedin"
7953,Solicitor General for Scotland,Charles Scott Dickson,position,1896,1903,"https://en.wikipedia.org/wiki/Charles_Dickson,_Lord_Dickson"
,Solicitor General for Scotland,David Dundas,position,1903,1905,"https://en.wikipedia.org/wiki/David_Dundas,_Lord_Dundas"
,Solicitor General for Scotland,Edward Theodore Salvesen,position,1905,1905/10,https://en.wikipedia.org/wiki/Edward_Theodore_Salvesen
7462,Solicitor General for Scotland,James Avon Clyde,position,1905/10,1905/12,"https://en.wikipedia.org/wiki/James_Avon_Clyde,_Lord_Clyde"
7325,Solicitor General for Scotland,Alexander Ure,position,1905/12,1909/02,"https://en.wikipedia.org/wiki/Alexander_Ure,_1st_Baron_Strathclyde"
7899,Solicitor General for Scotland,Arthur Dewar,position,1909/02,1910/04,"https://en.wikipedia.org/wiki/Arthur_Dewar,_Lord_Dewar"
8498,Solicitor General for Scotland,William Hunter,position,1910/04,1911/12,"https://en.wikipedia.org/wiki/William_Hunter,_Lord_Hunter"
