corresponding_id,alias,real_name,start,end,extra,links
2466,viscount morpeth,George William Frederick Howard,1825,1848,7th Earl of Carlisle,"https://en.wikipedia.org/wiki/George_Howard,_7th_Earl_of_Carlisle"
7285,viscount morpeth,Charles James Stanley Howard,1889,1911,10th Earl of Carlisle,"https://en.wikipedia.org/wiki/Charles_Howard,_10th_Earl_of_Carlisle"
6571,lord stanley of alderley,John Thomas Stanley,1839,1850/10/23, 1st Baron Stanley of Alderley,"https://en.wikipedia.org/wiki/John_Stanley,_1st_Baron_Stanley_of_Alderley"
2738,lord stanley of alderley,Edward John Stanley,1850/10/23,1869/06/16,2nd Baron Stanley of Alderley,"https://en.wikipedia.org/wiki/Edward_Stanley,_2nd_Baron_Stanley_of_Alderley"
,lord stanley of alderley,Henry Edward John Stanley,1869/06/16,1903/12/11,3rd Baron Stanley of Alderley,"https://en.wikipedia.org/wiki/Henry_Stanley,_3rd_Baron_Stanley_of_Alderley"
5828,lord stanley of alderley,Edward Lyulph Stanley,1903/12/11,1925/03/18,4th Baron Stanley of Alderley,"https://en.wikipedia.org/wiki/Edward_Stanley,_4th_Baron_Stanley_of_Alderley"
4149,lord cairns,Hugh McCalmont Cairns,1878/09/27,1885/04/02,1st Earl Cairns,"https://en.wikipedia.org/wiki/Hugh_Cairns,_1st_Earl_Cairns"
7035,lord cairns,Arthur William Cairns,1885/04/02,1890/01/14,2nd Earl Cairns,"https://en.wikipedia.org/wiki/Arthur_Cairns,_2nd_Earl_Cairns"
7068,lord cairns,Herbert John Cairns,1890/01/14,1905/01/14,3rd Earl Cairns,"https://en.wikipedia.org/wiki/Herbert_Cairns,_3rd_Earl_Cairns"
7208,lord cairns,Wilfred Dallas Cairns,1905/01/14,1946/10/23,4th Earl Cairns,"https://en.wikipedia.org/wiki/Wilfred_Cairns,_4th_Earl_Cairns"
6761,lord redesdale,John Freeman-Mitford,1802/02/13,1830/01/16,1st Baron Redesdale,"https://en.wikipedia.org/wiki/John_Freeman-Mitford,_1st_Baron_Redesdale"
6503,lord redesdale,John Thomas Freeman-Mitford,1830/01/16,1886/05/02,1st Earl of Redesdale,"https://en.wikipedia.org/wiki/John_Freeman-Mitford,_1st_Earl_of_Redesdale"
7180,lord redesdale,Algernon Bertram Freeman-Mitford,1902/07/15,1916/08/17,1st Baron Redesdale // second creation,"https://en.wikipedia.org/wiki/Algernon_Freeman-Mitford,_1st_Baron_Redesdale"
1875,lord ellenborough,Edward Law,1844/10/15,1871/12/22,1st Earl of Ellenborough,"https://en.wikipedia.org/wiki/Edward_Law,_1st_Earl_of_Ellenborough"
,lord ellenborough,Charles Edmund Towry-Law,1871/12/22,1890/10/09,3rd Baron Ellenborough,"https://en.wikipedia.org/wiki/Charles_Towry-Law,_3rd_Baron_Ellenborough"
,lord ellenborough,Charles Towry Hamilton Towry-Law,1890/10/09,1902/06/26,4th Baron Ellenborough,"https://en.wikipedia.org/wiki/Charles_Towry-Law,_4th_Baron_Ellenborough"
,lord ellenborough,Edward Downes Law,1902/06/26,1915/12/09,5th Baron Ellenborough,"https://en.wikipedia.org/wiki/Edward_Law,_5th_Baron_Ellenborough"
2453,colonel sibthorp,Charles de Laet Waldo Sibthorp,1783/02/14,1855/12/14,,https://en.wikipedia.org/wiki/Charles_Sibthorp
5814,sir henry fowler,Henry Hartley Fowler,1830/05/16,1911/02/25,,"https://en.wikipedia.org/wiki/Henry_Fowler,_1st_Viscount_Wolverhampton"
4369,sir james ferguson,James Fergusson,1832/03/14,1907/01/14,,"https://en.wikipedia.org/wiki/Sir_James_Fergusson,_6th_Baronet"
3777,mr baillie cochrane,Alexander Dundas Ross Cochrane-Wishart-Baillie,1816/11/24,1890/02/15,,"https://en.wikipedia.org/wiki/Alexander_Baillie-Cochrane,_1st_Baron_Lamington"
7925,dr macnamara,Thomas James Macnamara,1861/08/23,1931/12/03,,https://en.wikipedia.org/wiki/Thomas_Macnamara
2286,mr spring rice,Thomas Spring Rice,1790/02/08,1866/02/07,,"https://en.wikipedia.org/wiki/Thomas_Spring_Rice,_1st_Baron_Monteagle_of_Brandon"
